"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00242829","Obec Nechvalice","00242829",1,"osoba","JAROSLAV MAŠEK","právní-forma/801","Obec"
"00234214","Město Buštěhrad","00234214",1,"osoba","DANIELA JAVORČEKOVÁ","právní-forma/801","Obec"
"00509191","Obec Boseň","00509191",1,"osoba","HANA MAUDROVÁ","právní-forma/801","Obec"
"00639699","Obec Bratřínov","00639699",1,"osoba","DAGMAR HOLKOVÁ","právní-forma/801","Obec"
"00235288","Obec Břežany II","00235288",1,"osoba","ALENA HLAVÁČKOVÁ","právní-forma/801","Obec"
"42717205","Obec Březovice","42717205",1,"osoba","MAREK JURIČKA","právní-forma/801","Obec"
"00277363","Obec Slatina","00277363",1,"osoba","MICHAL KADERKA","právní-forma/801","Obec"
"00279536","Obec Sopotnice","00279536",1,"osoba","JAN ANTUŠEK","právní-forma/801","Obec"
"00654752","Obec Stolany","00654752",1,"osoba","ZDENĚK HLUCHNÍK","právní-forma/801","Obec"
"00279285","Obec Svatý Jiří","00279285",1,"osoba","MILOSLAV KUBÁT","právní-forma/801","Obec"
"00271047","Obec Tisovec","00271047",1,"osoba","JAROSLAVA MATRASOVÁ","právní-forma/801","Obec"
"48156931","Obec Trnávka","48156931",1,"osoba","TEREZA VESELÁ","právní-forma/801","Obec"
"00279862","Obec Žichlínek","00279862",1,"osoba","PETR SYROVÝ","právní-forma/801","Obec"
"15054233","Obec Žlebské Chvalovice","15054233",1,"osoba","JAN BUDÍNSKÝ","právní-forma/801","Obec"
"00253235","Město Bělá nad Radbuzou","00253235",1,"osoba","LIBOR PICKA","právní-forma/801","Obec"
"00255467","Město Hartmanice","00255467",1,"osoba","PAVEL VALDMAN","právní-forma/801","Obec"
"00257770","Město Horní Bříza","00257770",1,"osoba","DAVID KAPR","právní-forma/801","Obec"
"00253391","Město Hostouň","00253391",1,"osoba","MIROSLAV RAUCH","právní-forma/801","Obec"
"00257893","Město Kaznějov","00257893",1,"osoba","EVA ŠIMLOVÁ","právní-forma/801","Obec"
"00259888","Město Kladruby","00259888",1,"osoba","HANA FLORIÁNOVÁ","právní-forma/801","Obec"
"00257958","Město Kožlany","00257958",1,"osoba","VÁCLAV KRATOCHVÍL","právní-forma/801","Obec"
"00255785","Město Měčín","00255785",1,"osoba","STANISLAV SKALA","právní-forma/801","Obec"
"00255866","Město Nalžovské Hory","00255866",1,"osoba","ZDENĚK HLAVÁČ","právní-forma/801","Obec"
"00258466","Město Úterý","00258466",1,"osoba","VÁCLAV KONSTANTINOVIČ","právní-forma/801","Obec"
"00256358","Město Železná Ruda","00256358",1,"osoba","FILIP SMOLA","právní-forma/801","Obec"
"00255319","Městys Čachrov","00255319",1,"osoba","JANA KOCUROVÁ","právní-forma/801","Obec"
"00259861","Městys Chodová Planá","00259861",1,"osoba","LUBOŠ HLAČÍK","právní-forma/801","Obec"
"00255394","Městys Dešenice","00255394",1,"osoba","LENKA SÝKOROVÁ","právní-forma/801","Obec"
"00255688","Městys Kolinec","00255688",1,"osoba","PAVEL PRINC","právní-forma/801","Obec"
"00242021","Obec Buš","00242021",1,"osoba","MILOSLAV LAŠTOVKA","právní-forma/801","Obec"
"00236756","Obec Byšice","00236756",1,"osoba","JANA POLÁKOVÁ","právní-forma/801","Obec"
"00253871","Městys Všeruby","00253871",1,"osoba","VÁCLAV BERNARD","právní-forma/801","Obec"
"00257508","Městys Žinkovy","00257508",1,"osoba","JOSEF KARHAN","právní-forma/801","Obec"
"00573868","Městys Zvíkovec","00573868",1,"osoba","PETR UHER","právní-forma/801","Obec"
"00573507","Obec Běhařov","00573507",1,"osoba","JINDŘICH KELLNER","právní-forma/801","Obec"
"00255211","Obec Běšiny","00255211",1,"osoba","PAVLÍNA LANGMAYEROVÁ","právní-forma/801","Obec"
"00574015","Obec Bezděkov","00574015",1,"osoba","JOSEF KRÁL","právní-forma/801","Obec"
"43313868","Obec Biřkov","43313868",0,NA,NA,"právní-forma/801","Obec"
"00257567","Obec Blatnice","00257567",1,"osoba","ONDŘEJ FAIFR","právní-forma/801","Obec"
"00253243","Obec Blížejov","00253243",1,"osoba","JIŘÍ ČERVENKA","právní-forma/801","Obec"
"00572977","Obec Bohy","00572977",1,"osoba","ZDENĚK ŠUBRT","právní-forma/801","Obec"
"00574091","Obec Střelice","00574091",1,"osoba","JAN KOREC","právní-forma/801","Obec"
"00573892","Obec Svojkovice","00573892",1,"osoba","OLDŘICH HÁDLÍK","právní-forma/801","Obec"
"70886814","Obec Sytno","70886814",1,"osoba","VÁCLAV BODIS","právní-forma/801","Obec"
